id,branch_group,branch_no,name_en,name_zh,brand_en,brand_zh,category,subcategory,lat,lng,area,address_en,address_zh,best_time,tags,food_type,halal_status,price_level,recommended_duration_min,description_en,description_zh,why_visit_en,why_visit_zh,map_url,official_url,status,verification_status,last_checked,source_note,is_chain,is_food,is_temple,is_transport_related
ipoh-railway-station,railway-station,1,Ipoh Railway Station,怡保火车站,Ipoh Railway Station,怡保火车站,transport,railway,4.59701,101.07322,Old Town,Jalan Panglima Bukit Gantang Wahab,旧街场附近,morning|afternoon|evening,heritage|rail|photo|arrival,,unknown,$,35,Colonial railway landmark and natural starting point for an Ipoh walk.,殖民风格火车站，也是怡保步行路线的自然起点。,Good first node because many Old Town sights are nearby.,适合作为第一站，旧街场景点都容易串起来。,https://maps.google.com/?q=Ipoh+Railway+Station,,active,community_suggested,2026-06-02,Seed civic data; verify details before relying on it.,false,false,false,true
birch-memorial-clock-tower,birch-clock,1,Birch Memorial Clock Tower,毕治纪念钟楼,Birch Memorial Clock Tower,毕治纪念钟楼,heritage,monument,4.59635,101.07522,Old Town,Jalan Dato Sagor,旧街场,morning|afternoon,heritage|photo|colonial,,unknown,$,20,Historic clock tower close to the railway station and civic buildings.,靠近火车站和旧行政建筑的历史钟楼。,Short walk from the station and useful for understanding colonial Ipoh.,距离火车站很近，方便理解旧怡保历史脉络。,https://maps.google.com/?q=Birch+Memorial+Clock+Tower+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
ipoh-town-hall,town-hall,1,Ipoh Town Hall,怡保市政厅,Ipoh Town Hall,怡保市政厅,heritage,civic_building,4.59674,101.07382,Old Town,Jalan Panglima Bukit Gantang Wahab,火车站旁,morning|afternoon,heritage|architecture|photo,,unknown,$,20,Elegant civic building beside the railway station.,火车站旁边的优雅市政建筑。,Pairs naturally with the station for a low-effort heritage route.,可与火车站顺路组合，轻松形成古迹路线。,https://maps.google.com/?q=Ipoh+Town+Hall,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
han-chin-pet-soo,han-chin,1,Han Chin Pet Soo,闲真别墅,Han Chin Pet Soo,闲真别墅,museum,heritage_museum,4.59631,101.07716,Old Town,No. 3 Jalan Bijeh Timah,旧街场二奶巷附近,morning|afternoon,museum|heritage|mining|hakka,,unknown,$$,75,Museum about tin-mining society and Hakka heritage in Old Town.,介绍锡矿社会和客家文化的旧街场博物馆。,Adds deeper context between street photos and food stops.,在拍照和美食之间加入历史深度。,https://maps.google.com/?q=Han+Chin+Pet+Soo,,active,community_suggested,2026-06-02,Entry arrangements may change; verify before visiting.,false,false,false,false
ho-yan-hor-museum,ho-yan-hor,1,Ho Yan Hor Museum,何人可博物馆,Ho Yan Hor Museum,何人可博物馆,museum,brand_museum,4.59644,101.07758,Old Town,Jalan Bijeh Timah,旧街场,morning|afternoon,museum|heritage|local_brand,,unknown,$,45,Small museum telling the story of a well-known Ipoh herbal tea brand.,介绍怡保本地凉茶品牌故事的小型博物馆。,Good indoor stop near Concubine Lane when the weather is hot.,天气热时可作为二奶巷附近的室内停靠点。,https://maps.google.com/?q=Ho+Yan+Hor+Museum+Ipoh,,active,community_suggested,2026-06-02,Opening details should be checked.,false,false,false,false
concubine-lane,concubine-lane,1,Concubine Lane,二奶巷,Concubine Lane,二奶巷,street,heritage_lane,4.59676,101.07787,Old Town,Lorong Panglima,旧街场二奶巷,morning|afternoon|evening,heritage|snacks|photo|shopping,,unknown,$$,50,"Iconic narrow lane with souvenirs, snacks and photo spots.",怡保经典小巷，有手信、小吃和拍照点。,"Central connector between heritage museums, coffee and murals.",连接博物馆、白咖啡和壁画区的核心节点。,https://maps.google.com/?q=Concubine+Lane+Ipoh,,active,community_suggested,2026-06-02,Busy on weekends.,false,false,false,false
market-lane,market-lane,1,Market Lane,三奶巷,Market Lane,三奶巷,street,heritage_lane,4.59606,101.07814,Old Town,Lorong Pasar,旧街场市场巷,morning|afternoon,heritage|photo|street,,unknown,$,30,Quieter heritage lane near Concubine Lane.,二奶巷附近较安静的历史小巷。,Useful calmer alternative when Concubine Lane is crowded.,二奶巷太拥挤时，这里是更舒服的替代点。,https://maps.google.com/?q=Market+Lane+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
mural-arts-lane,mural-lane,1,Mural Art's Lane,壁画艺术巷,Mural Art's Lane,壁画艺术巷,street,mural,4.59472,101.08322,New Town,Jalan Masjid,新街场附近,morning|afternoon,mural|photo|walk,,unknown,$,40,Street art lane with murals and easy walking access from food streets.,有多幅壁画，适合从美食街顺路步行。,A visual break between food stops and Old Town heritage.,在美食和古迹路线之间加入轻松拍照点。,https://maps.google.com/?q=Mural+Art%27s+Lane+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
kinta-riverfront,kinta-riverfront,1,Kinta Riverfront Walk,近打河畔,Kinta Riverfront Walk,近打河畔,park,river_walk,4.6017,101.0782,Kinta River,Jalan Lim Bo Seng,近打河畔,evening|night,river|walk|lights|family,,unknown,$,45,Evening river walk with lights and relaxed pace.,晚上灯光和河边散步气氛轻松。,Best after dinner when visitors want a gentle final stop.,晚餐后适合作为轻松收尾站。,https://maps.google.com/?q=Kinta+Riverfront+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
dataran-ipoh,dataran,1,Dataran Ipoh,怡保广场,Dataran Ipoh,怡保广场,park,city_square,4.60485,101.09551,New Town,Jalan Sultan Abdul Jalil,新街场,evening|night,open_space|family|city,,unknown,$,30,Open city square often used as a family-friendly evening stop.,市区开放广场，适合晚上轻松走走。,Works well after food stops around New Town.,吃完新街场美食后可顺路散步。,https://maps.google.com/?q=Dataran+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
dr-seenivasagam-park,dr-park,1,DR Seenivasagam Recreational Park,DR 公园,DR Seenivasagam Recreational Park,DR 公园,park,recreation,4.60431,101.08276,Kinta River,Jalan Keliling Dalam,近打河附近,morning|evening,park|family|walk,,unknown,$,60,Large public park for a slower green break.,大型公共公园，适合放慢节奏。,Good breathing space between city food and heritage stops.,可在城市美食与古迹之间加入休息感。,https://maps.google.com/?q=DR+Seenivasagam+Park+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
padang-ipoh,padang,1,Padang Ipoh,怡保草场,Padang Ipoh,怡保草场,heritage,field,4.5969,101.0756,Old Town,Jalan S. P. Seenivasagam,旧街场,morning|afternoon|evening,heritage|photo|open_space,,unknown,$,25,Historic field surrounded by Old Town landmarks.,旧街场古迹建筑围绕的草场。,A simple orientation point when linking railway station to lanes.,从火车站走向小巷时很好定位。,https://maps.google.com/?q=Padang+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
kong-heng-square,kong-heng,1,Kong Heng Square,光兴广场,Kong Heng Square,光兴广场,shopping,creative_market,4.59651,101.07854,Old Town,Jalan Panglima,旧街场,morning|afternoon|evening,shopping|heritage|snacks|creative,,unknown,$$,45,"Creative cluster with small shops, snacks and heritage atmosphere.",集合小店、小吃和旧建筑气氛的创意区。,Natural bridge between Concubine Lane and cafe stops.,连接二奶巷和咖啡店路线很自然。,https://maps.google.com/?q=Kong+Heng+Square+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
bookxcess-kong-heng,bookxcess,1,BookXcess Kong Heng,BookXcess 光兴,BookXcess,BookXcess,shopping,bookstore,4.59661,101.07856,Old Town,Kong Heng Square,光兴广场,afternoon|evening,bookstore|indoor|photo,,unknown,$$,40,Bookstore inside a heritage-style setting.,位于老建筑氛围里的书店。,Good cooling indoor stop near the busy lanes.,靠近热闹小巷，可作为室内冷气停靠点。,https://maps.google.com/?q=BookXcess+Kong+Heng+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
gerbang-malam,gerbang-malam,1,Gerbang Malam,夜市街,Gerbang Malam,夜市街,night_market,night_bazaar,4.59692,101.08593,New Town,Jalan Dato Tahwil Azar,新街场夜市街,night,night_market|shopping|street,,unknown,$$,60,Night bazaar for casual shopping after dinner.,晚餐后适合逛逛的夜市街。,"Useful final node after Lou Wong, Tong Sui Kai or Funny Mountain.",吃完老黄、糖水街或奇峰后很顺路。,https://maps.google.com/?q=Gerbang+Malam+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,false,false,false
tong-sui-kai,tong-sui-kai,1,Tong Sui Kai,糖水街,Tong Sui Kai,糖水街,food,hawker_street,4.59781,101.08737,New Town,Jalan Carey,新街场糖水街,evening|night,hawker|dessert|local_food,hawker,mixed,$,60,Evening hawker street known for desserts and local dishes.,以糖水和本地小吃闻名的晚间美食街。,Best when the route needs many food choices in one stop.,想一次有很多小吃选择时很适合。,https://maps.google.com/?q=Tong+Sui+Kai+Ipoh,,active,community_suggested,2026-06-02,Seed civic data.,false,true,false,false
kek-lok-tong,kek-lok-tong,1,Kek Lok Tong,极乐洞,Kek Lok Tong,极乐洞,temple,cave_temple,4.55931,101.12944,Gunung Rapat,Persiaran Sepakat,昆仑喇叭,morning|afternoon,cave|temple|nature|limestone,,unknown,$,90,Spacious limestone cave temple with a garden beyond the cave.,宽敞石灰岩洞庙，洞后有花园。,Strong anchor for a nature-temple route outside the city core.,适合作为市区外自然洞庙路线主节点。,https://maps.google.com/?q=Kek+Lok+Tong,,active,community_suggested,2026-06-02,Seed civic data.,false,false,true,false
