stop_id,name_en,name_zh,lat,lng,area,nearby_landmark_en,nearby_landmark_zh,routes,source_type,source_url,source_pdf,source_page,confidence,verification_status,last_checked,note_en,note_zh
bs-medan-kidd,Medan Kidd Bus Station,美丹杰巴士站,4.59746,101.07174,Old Town,Ipoh Railway Station,怡保火车站,check_official|A30A|A31A,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Nearby stop reference only; verify with BAS.MY official channels.,仅作附近站点参考；请向 BAS.MY 官方确认。
bs-railway-station,Ipoh Railway Station stop area,怡保火车站站点区,4.59705,101.0731,Old Town,Ipoh Railway Station,怡保火车站,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Stop position inferred from map context.,站点位置由地图脉络推断。
bs-padang-ipoh,Padang Ipoh stop area,怡保草场站点区,4.5969,101.0756,Old Town,Padang Ipoh,怡保草场,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Needs field verification.,需要实地确认。
bs-concubine-lane,Concubine Lane stop area,二奶巷站点区,4.5967,101.0778,Old Town,Concubine Lane,二奶巷,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Nearby stop approximation.,附近站点近似。
bs-pasar-besar,Pasar Besar Ipoh stop,怡保大巴刹站,4.5949,101.0815,New Town,Pasar Besar Ipoh,怡保大巴刹,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Verify current route.,请确认当前路线。
bs-jalan-theatre,Jalan Theatre stop area,戏院街站点区,4.5963,101.0856,New Town,Funny Mountain,奇峰,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Food-street stop reference.,美食街站点参考。
bs-ipoh-parade,Ipoh Parade stop,怡保百利站,4.596,101.0906,New Town,Ipoh Parade,怡保百利广场,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Mall stop reference.,商场站点参考。
bs-greentown,Greentown stop area,绿城站点区,4.6077,101.0962,Greentown,Greentown Business Centre,绿城商业中心,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Needs route confirmation.,需要路线确认。
bs-kinta-city,Kinta City stop,近打城站,4.6183,101.1191,Kinta City,AEON Mall Kinta City,AEON 近打城,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Mall stop reference.,商场站点参考。
bs-new-hollywood,Canning Garden stop area,Canning Garden 站点区,4.6186,101.1181,Canning Garden,New Hollywood Restaurant,新好莱坞茶室,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Nearby food stop reference.,附近美食站点参考。
bs-gunung-rapat,Gunung Rapat stop area,昆仑喇叭站点区,4.5616,101.113,Gunung Rapat,Sam Poh Tong,三宝洞,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Temple area may still require ride-hailing.,洞庙区可能仍需电召车。
bs-kek-lok-tong,Kek Lok Tong nearby stop,极乐洞附近站,4.5593,101.1294,Gunung Rapat,Kek Lok Tong,极乐洞,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Verify walking safety.,请确认步行安全。
bs-airport,Sultan Azlan Shah Airport stop,怡保机场站,4.5683,101.0921,Gunung Rapat,Sultan Azlan Shah Airport,怡保机场,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Airport transport reference.,机场交通参考。
bs-tambun,Tambun stop area,打扪站点区,4.6231,101.1532,Tambun,Lost World of Tambun,迷失乐园,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Verify service coverage.,请确认服务覆盖。
bs-bercham,Bercham stop area,巴占站点区,4.6405,101.1283,Bercham,Bercham Food Court,巴占美食中心,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Route confirmation needed.,需要路线确认。
bs-silibin,Silibin stop area,狮尾站点区,4.6043,101.0579,Silibin,Silibin Food Court,狮尾美食中心,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Route confirmation needed.,需要路线确认。
bs-menglembu,Menglembu stop area,万里望站点区,4.5888,101.0422,Menglembu,Menglembu,万里望,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Route confirmation needed.,需要路线确认。
bs-meru-raya,Meru Raya stop,美鲁拉也站,4.6731,101.0731,Meru,Meru Raya,美鲁拉也,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Northern transport area reference.,北部交通区参考。
bs-amanjaya,Amanjaya Bus Terminal stop,Amanjaya 总站站点,4.67242,101.07418,Meru,Amanjaya Bus Terminal,Amanjaya 巴士总站,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,medium,map_inferred,2026-06-02,Express terminal reference.,长途总站参考。
bs-tong-sui-kai,Tong Sui Kai stop area,糖水街站点区,4.5978,101.0873,New Town,Tong Sui Kai,糖水街,check_official,map_inferred,,data/pdf/map-basmyipoh.pdf,,low,map_inferred,2026-06-02,Evening food street reference.,晚间美食街参考。
